season,State,District,Crop,Original Area (Hectare),Optimized Area (Hectare)
kharif,gujarat,anand,jowar,0.0,0.0
kharif,gujarat,anand,maize,123.0,0.0
kharif,gujarat,anand,rice,110798.0,0.0
kharif,gujarat,aravalli,bajra,0.0,0.0
kharif,gujarat,aravalli,jowar,0.0,0.0
kharif,gujarat,aravalli,maize,0.0,0.0
kharif,gujarat,aravalli,rice,1208.0,1208.0
kharif,gujarat,arvalli,bajra,800.0,31366.0
kharif,gujarat,arvalli,maize,30566.0,0.0
kharif,gujarat,banas kantha,bajra,17985.0,28309.552934326766
kharif,gujarat,banas kantha,jowar,15500.0,0.0
kharif,gujarat,banas kantha,maize,7736.0,0.0
kharif,gujarat,banas kantha,ragi,0.0,0.0
kharif,gujarat,banas kantha,rice,0.0,12911.447065673234
kharif,gujarat,bharuch,bajra,40.0,0.0
kharif,gujarat,bharuch,jowar,980.0,0.0
kharif,gujarat,bharuch,maize,550.0,0.0
kharif,gujarat,bharuch,rice,7990.0,9560.0
kharif,gujarat,bhavnagar,bajra,32693.0,32693.0
kharif,gujarat,bhavnagar,jowar,0.0,0.0
kharif,gujarat,bhavnagar,maize,0.0,0.0
kharif,gujarat,botad,bajra,659.0,659.0
kharif,gujarat,chhotaudepur,jowar,437.0,53837.0
kharif,gujarat,chhotaudepur,maize,31530.0,0.0
kharif,gujarat,chhotaudepur,rice,21870.0,0.0
kharif,gujarat,dang,jowar,690.0,0.0
kharif,gujarat,dang,maize,0.0,0.0
kharif,gujarat,dang,ragi,7562.0,0.0
kharif,gujarat,dang,rice,20829.0,29081.0
kharif,gujarat,devbhumi dwarka,bajra,78.0,215.0
kharif,gujarat,devbhumi dwarka,jowar,17.0,0.0
kharif,gujarat,devbhumi dwarka,maize,120.0,0.0
kharif,gujarat,dohad,jowar,0.0,67949.22144457247
kharif,gujarat,dohad,maize,107805.0,0.0
kharif,gujarat,dohad,rice,49880.0,89735.77855542753
kharif,gujarat,gandhinagar,bajra,1576.0,11729.0
kharif,gujarat,gandhinagar,jowar,107.0,0.0
kharif,gujarat,gandhinagar,maize,145.0,0.0
