iteration,scenario,season,metric,metric_key,status,kharif_status,rabi_status,pct_reduction,display_pct_change
37,Water based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,11.305010558987522,-11.305010558987522
37,Nitrogen based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,21.541139851872224,-21.541139851872224
37,Water based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,10.238995681663141,-10.238995681663141
37,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,27.571707159411297,-27.571707159411297
37,Water based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,41.62292681674199,-41.62292681674199
37,Nitrogen based,annual,Profit,profit,Optimal,Optimal,Optimal,-4.088283546463717,4.088283546463717
37,Water based,annual,Profit,profit,Optimal,Optimal,Optimal,-9.998118146061685,9.998118146061685
37,Nitrogen based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-2.75163423343669,2.75163423343669
37,Water based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-3.221182385447396,3.221182385447396
37,Nitrogen based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,15.140994623817848,-15.140994623817848
37,Water based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,5.6872214496133715,-5.6872214496133715
37,Nitrogen based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,13.739659235311066,-13.739659235311066
37,Water based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,4.263353592255619,-4.263353592255619
37,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,20.73900489177665,-20.73900489177665
37,Water based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,9.31433261116233,-9.31433261116233
37,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,22.165773106302172,-22.165773106302172
37,Water based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,7.9086203663643495,-7.9086203663643495
37,Nitrogen based,annual,Water Demand,water,Optimal,Optimal,Optimal,28.98044496680584,-28.98044496680584
37,Water based,annual,Water Demand,water,Optimal,Optimal,Optimal,46.06710921269329,-46.06710921269329
38,Nitrogen based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,24.264582719549985,-24.264582719549985
38,Water based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,6.43620921501821,-6.43620921501821
38,Nitrogen based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,22.48227044798485,-22.48227044798485
38,Water based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,6.589791821753796,-6.589791821753796
