source_state,target_state,original_trade_kcal,optimized_trade_kcal,diff_trade_kcal
gujarat,madhya pradesh,9188803983.333334,6125604330.416177,-3063199652.917157
gujarat,maharashtra,5739113333.333333,3825910047.834413,-1913203285.49892
gujarat,manipur,0.0,0.0,0.0
gujarat,meghalaya,0.0,0.0,0.0
gujarat,mizoram,0.0,0.0,0.0
gujarat,nagaland,0.0,0.0,0.0
gujarat,odisha,0.0,0.0,0.0
gujarat,puducherry,0.0,0.0,0.0
gujarat,punjab,39365513100.0,32483608091.319237,-6881905008.680759
gujarat,rajasthan,1220353166.6666665,813533584.5589175,-406819582.107749
gujarat,sikkim,0.0,0.0,0.0
gujarat,tamil nadu,4455701833.333334,2970339392.897663,-1485362440.4356709
gujarat,telangana,709285500.0,472836545.2328738,-236448954.7671262
gujarat,tripura,0.0,0.0,0.0
gujarat,uttar pradesh,22269179500.0,14959398210.504055,-7309781289.495943
gujarat,uttarakhand,0.0,0.0,0.0
gujarat,west bengal,2139180166.6666667,1426058420.251577,-713121746.4150898
haryana,andaman and nicobar,0.0,0.0,0.0
haryana,andhra pradesh,171691044000.0,171691044000.0,0.0
haryana,arunachal pradesh,2985950000.0,2988176228.4251113,2226228.425111294
haryana,assam,1283438020833.3333,1284295257460.0835,857236626.7502441
haryana,bihar,2261262849833.3335,2262123050296.711,860200463.3771973
haryana,chandigarh,145154048333.3333,145238856024.1103,84807690.77694702
haryana,chhattisgarh,121395717333.33333,121395717333.33333,0.0
haryana,dadra and nagar haveli,0.0,0.0,0.0
haryana,daman and diu,0.0,0.0,0.0
haryana,delhi,399641263333.3334,399663062013.5329,21798680.19955063
haryana,goa,49421895000.00001,49446663311.877205,24768311.877197266
haryana,gujarat,1476186841333.3333,1476425344760.1064,238503426.7732544
haryana,himachal pradesh,25767921666.666664,25776037834.161057,8116167.494390488
haryana,jammu and kashmir,85206365000.0,85250227561.38089,43862561.38088226
haryana,jharkhand,150320603333.33334,150326661373.10834,6058039.775000572
haryana,karnataka,1612243554333.3335,1613251132534.0378,1007578200.7043457
haryana,kerala,332858211833.3334,332945081854.3473,86870021.01397705
haryana,lakshadeep,0.0,0.0,0.0
haryana,madhya pradesh,139591127000.0,139612775606.08267,21648606.082660675
haryana,maharashtra,3156472269000.0,3157530556194.17,1058287194.170166
haryana,manipur,21171023333.333332,21186807768.415424,15784435.082092285
haryana,meghalaya,533406666.6666666,533804357.54678094,397690.88011431694
haryana,mizoram,18899150000.0,18913240599.286808,14090599.286808014
haryana,nagaland,106666760000.00002,106740995704.68306,74235704.68304443
