scenario,state,metric,baseline_total,optimized_total,pct_reduction,display_pct_change
Water based,andhra pradesh,Nitrogen application,491138196.4370666,499658685.5520787,-1.734845543845602,1.734845543845602
Water based,arunachal pradesh,Nitrogen application,24015061.561510205,22899246.99263822,4.6463115075263515,-4.6463115075263515
Water based,assam,Nitrogen application,166713588.17650124,185055371.1621137,-11.001972416425849,11.001972416425849
Water based,bihar,Nitrogen application,720449892.7154951,683241776.9114634,5.164566776988219,-5.164566776988219
Water based,chandigarh,Nitrogen application,73358.6168026929,73358.61680258189,1.5131420711016952e-10,-1.5131420711016952e-10
Water based,chhattisgarh,Nitrogen application,509975658.6584435,362179338.34226876,28.981053861467025,-28.981053861467025
Water based,dadra and nagar haveli,Nitrogen application,1981638.3212801886,1999447.7259066429,-0.898721246718165,0.898721246718165
Water based,gujarat,Nitrogen application,471963893.49576855,389017100.82163024,17.574817442021544,-17.574817442021544
Water based,haryana,Nitrogen application,767022589.0997484,742884656.2919314,3.1469650504227764,-3.1469650504227764
Water based,himachal pradesh,Nitrogen application,67379118.04632168,70297837.52726537,-4.3317864133174595,4.3317864133174595
Water based,jammu and kashmir,Nitrogen application,112665659.08180645,109568825.8001381,2.7486931749271903,-2.7486931749271903
Water based,jharkhand,Nitrogen application,253929985.12953573,298456046.4928619,-17.53477886458048,17.53477886458048
Water based,karnataka,Nitrogen application,555747514.1332167,468273992.97075987,15.7397953095457,-15.7397953095457
Water based,kerala,Nitrogen application,16512008.57072589,16512008.568385193,1.4175723940824484e-08,-1.4175723940824484e-08
Water based,madhya pradesh,Nitrogen application,1143523663.9456954,1082142715.8689153,5.367702480680364,-5.367702480680364
Water based,maharashtra,Nitrogen application,935450019.8191364,1081673278.4318154,-15.631327758264455,15.631327758264455
Water based,manipur,Nitrogen application,34580537.09820288,32632652.37083058,5.63289321342995,-5.63289321342995
Water based,meghalaya,Nitrogen application,16802564.51509747,16378084.446979336,2.526281436007748,-2.526281436007748
Water based,mizoram,Nitrogen application,5412398.5870580785,5040367.308727044,6.873685896316317,-6.873685896316317
Water based,nagaland,Nitrogen application,36397010.31311029,36074555.1828865,0.8859385082725852,-0.8859385082725852
Water based,odisha,Nitrogen application,345731241.099165,340133023.6351041,1.6192396863710627,-1.6192396863710627
Water based,puducherry,Nitrogen application,2201822.855363913,2201242.402975716,0.026362356389509907,-0.026362356389509907
Water based,punjab,Nitrogen application,1335715053.8191957,1338230437.8170552,-0.188317410264058,0.188317410264058
Water based,rajasthan,Nitrogen application,833369532.8920208,818129687.6247947,1.828701994220938,-1.828701994220938
Water based,sikkim,Nitrogen application,5878366.764618727,5840150.533064011,0.6501164878778288,-0.6501164878778288
Water based,tamil nadu,Nitrogen application,386664404.59677005,376175127.4939655,2.7127599484475957,-2.7127599484475957
Water based,telangana,Nitrogen application,335845807.9952835,291705880.19586587,13.142914619925076,-13.142914619925076
Water based,tripura,Nitrogen application,37333844.073455945,37340639.92483143,-0.018202924301370754,0.018202924301370754
Water based,uttar pradesh,Nitrogen application,2503884366.6527395,2391411424.017235,4.491938371174129,-4.491938371174129
Water based,uttarakhand,Nitrogen application,89544261.14929327,87303237.5570665,2.502699294698978,-2.502699294698978
Water based,west bengal,Nitrogen application,683399406.5876904,703902727.9445838,-3.000195955578802,3.000195955578802
Water based,andaman and nicobar,Phosphorus Surplus,229645.9414278377,229645.9414278377,0.0,-0.0
Water based,andhra pradesh,Phosphorus Surplus,174719848.99250114,128795125.53207597,26.284777445289702,-26.284777445289702
Water based,arunachal pradesh,Phosphorus Surplus,7858140.655211288,7256617.446573532,7.654777828885551,-7.654777828885551
Water based,assam,Phosphorus Surplus,39637867.655382305,42799370.39154562,-7.975965719573786,7.975965719573786
Water based,bihar,Phosphorus Surplus,212227288.613703,187028676.16176653,11.873408276823016,-11.873408276823016
Water based,chandigarh,Phosphorus Surplus,15705.287009481837,15705.287009546806,-4.1367499038523376e-10,4.1367499038523376e-10
Water based,chhattisgarh,Phosphorus Surplus,172356129.0712664,114900258.32658312,33.3355541542281,-33.3355541542281
Water based,dadra and nagar haveli,Phosphorus Surplus,657842.8523189217,659843.259596703,-0.30408588779672374,0.30408588779672374
Water based,gujarat,Phosphorus Surplus,113232618.60920501,80208989.14058307,29.164413818420122,-29.164413818420122
Water based,haryana,Phosphorus Surplus,172771864.73533875,162600160.5700589,5.887361452549812,-5.887361452549812
Water based,himachal pradesh,Phosphorus Surplus,14008145.237650627,14625841.110191826,-4.409547888474029,4.409547888474029
Water based,jammu and kashmir,Phosphorus Surplus,34907775.44415194,31944778.70615852,8.488070924868422,-8.488070924868422
Water based,jharkhand,Phosphorus Surplus,66025894.353406884,85227747.4615404,-29.082306716444677,29.082306716444677
Water based,karnataka,Phosphorus Surplus,252804408.185267,151219431.8026828,40.18322983835707,-40.18322983835707
