,target,source,avg_trade_qtl
559,Maharashtra,Jammu & Kashmir,0.0
560,Meghalaya,Jammu & Kashmir,0.0
561,Manipur,Jammu & Kashmir,0.0
562,Madhya Pradesh,Jammu & Kashmir,0.0
563,Mizoram,Jammu & Kashmir,0.0
564,Nagaland,Jammu & Kashmir,0.0
565,Odisha,Jammu & Kashmir,0.0
566,Punjab,Jammu & Kashmir,18692.008333333335
567,Puducherry,Jammu & Kashmir,0.0
568,Rajasthan,Jammu & Kashmir,0.0
569,Sikkim,Jammu & Kashmir,0.0
570,Telangana,Jammu & Kashmir,0.0
571,Tamil Nadu,Jammu & Kashmir,0.0
572,Tripura,Jammu & Kashmir,0.0
573,Uttarakhand,Jammu & Kashmir,0.0
574,Uttar Pradesh,Jammu & Kashmir,665.0
575,West Bengal,Jammu & Kashmir,0.0
576,Andhra Pradesh,Kerala,0.0
577,Andaman & Nicobar Islands,Kerala,0.0
578,Arunachal Pradesh,Kerala,0.0
579,Assam,Kerala,0.0
580,Bihar,Kerala,0.0
581,Chattisgarh,Kerala,0.0
582,Chandigarh,Kerala,0.0
583,Daman & Diu,Kerala,0.0
584,Delhi,Kerala,0.0
585,Dadra & Nagar Haveli,Kerala,0.0
586,Goa,Kerala,0.0
587,Gujarat,Kerala,0.0
588,Himachal Pradesh,Kerala,0.0
589,Haryana,Kerala,3734.5833333333335
590,Jharkhand,Kerala,0.0
591,Jammu & Kashmir,Kerala,0.0
592,Kerala,Kerala,56048.333333333336
593,Karnataka,Kerala,2669.0499999999997
594,Lakshadeep,Kerala,0.0
595,Maharashtra,Kerala,0.0
596,Meghalaya,Kerala,0.0
597,Manipur,Kerala,0.0
598,Madhya Pradesh,Kerala,16357.125
599,Mizoram,Kerala,0.0
600,Nagaland,Kerala,0.0
601,Odisha,Kerala,0.0
602,Punjab,Kerala,12965.866666666667
603,Puducherry,Kerala,0.0
604,Rajasthan,Kerala,6555.408333333333
605,Sikkim,Kerala,0.0
606,Telangana,Kerala,0.0
607,Tamil Nadu,Kerala,253119.16666666666
608,Tripura,Kerala,0.0
609,Uttarakhand,Kerala,0.0
610,Uttar Pradesh,Kerala,884.5
611,West Bengal,Kerala,0.0
612,Andhra Pradesh,Karnataka,2110.8333333333335
613,Andaman & Nicobar Islands,Karnataka,0.0
614,Arunachal Pradesh,Karnataka,0.0
615,Assam,Karnataka,0.0
616,Bihar,Karnataka,221.0
617,Chattisgarh,Karnataka,0.0
618,Chandigarh,Karnataka,0.0
619,Daman & Diu,Karnataka,0.0
620,Delhi,Karnataka,0.0
621,Dadra & Nagar Haveli,Karnataka,0.0
622,Goa,Karnataka,0.0
623,Gujarat,Karnataka,1744.6666666666667
624,Himachal Pradesh,Karnataka,0.0
625,Haryana,Karnataka,5064.25
626,Jharkhand,Karnataka,0.0
627,Jammu & Kashmir,Karnataka,0.0
628,Kerala,Karnataka,45516.666666666664
629,Karnataka,Karnataka,21626.083333333332
630,Lakshadeep,Karnataka,0.0
631,Maharashtra,Karnataka,197.85833333333335
632,Meghalaya,Karnataka,0.0
633,Manipur,Karnataka,0.0
634,Madhya Pradesh,Karnataka,31103.441666666666
635,Mizoram,Karnataka,0.0
636,Nagaland,Karnataka,0.0
637,Odisha,Karnataka,0.0
638,Punjab,Karnataka,2288.9
639,Puducherry,Karnataka,111.24166666666667
640,Rajasthan,Karnataka,8148.741666666666
641,Sikkim,Karnataka,0.0
